Interval start,All packets,TCP errors
0,360,0
1,0,0
2,0,0
3,138,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,27373,0
17,113418,0
18,158368,0
19,0,0
20,0,0
21,84,0
22,0,0
23,0,0
24,0,0
25,0,0
26,386,0
27,8524,0
28,13996,0
29,0,0
30,0,0
31,78030,0
32,217434,0
33,113211,0
34,226518,0
35,22801,0
36,54,0
37,0,0
38,0,0
39,90872,0
40,203697,0
41,135488,0
42,204079,0
43,67823,0
44,0,0
45,0,0
46,0,0
47,67611,0
48,204157,0
49,135326,0
50,204565,0
51,90378,0
52,0,0
53,0,0
54,0,0
55,0,0
56,386,0
57,0,0
58,0,0
59,0,0
60,0,0
61,84,0
62,0,0
63,1236,0
64,188651,0
65,128353,0
66,203265,0
67,135330,0
68,203835,0
69,135542,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,386,0
80,136992,0
81,113404,9
82,181686,0
83,135974,0
84,0,0
85,54,0
86,0,0
87,0,0
88,0,0
89,0,0
90,386,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,137262,0
97,157932,0
98,181416,0
99,181354,0
100,169501,0
101,193623,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,386,0
112,103654,0
113,191540,0
114,135928,0
115,203585,0
116,135783,0
117,113976,0
118,22389,0
119,0,0
120,0,0
121,0,0
122,91196,0
123,203747,0
124,23007,0
125,70,0
126,0,0
127,0,0
128,91142,0
129,193158,0
130,117689,0
131,177116,0
132,55999,0
133,0,0
134,68289,0
135,181740,0
136,126863,0
137,190913,0
138,67772,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,5565,0
145,180880,1
146,113730,0
147,227132,0
148,113290,0
149,0,0
150,22584,0
151,204498,0
152,136069,0
153,227074,0
154,136040,0
155,204033,0
156,159088,0
157,84,0
158,0,0
159,0,0
160,0,0
161,181490,0
162,181216,0
163,158664,0
164,203714,0
165,0,0
166,0,0
167,138,0
168,0,0
169,0,0
170,0,0
171,92486,0
172,203634,0
173,0,0
174,0,0
175,120997,0
176,196447,0
177,0,0
178,0,0
179,113319,0
180,180980,0
181,113045,0
182,180872,0
183,90760,0
184,180598,0
185,90980,0
186,176227,0
187,104579,0
188,150393,21
189,68043,0
190,0,0
191,0,0
192,0,0
193,23129,0
194,181251,0
195,113262,0
196,174020,0
197,98434,0
198,0,0
199,138,0
200,0,0
201,0,0
202,386,0
203,0,0
204,0,0
205,0,0
206,0,0
207,84,0
208,0,0
209,66,0
210,160027,0
211,136140,0
212,203913,0
213,135920,0
214,0,0
215,0,0
216,0,0
217,0,0
218,181308,0
219,135002,0
220,181146,0
221,158043,0
222,0,0
223,0,0
224,0,0
225,0,0
226,158371,0
227,181250,0
228,136472,0
229,203864,0
230,0,0
231,0,0
232,138,0
233,0,0
234,0,0
235,386,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,70676,0
243,224680,0
244,113697,0
245,215683,0
246,124316,0
247,203967,0
248,22335,0
249,290,0
250,70,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,386,0
258,45589,0
259,208766,0
260,135762,0
261,203805,0
262,22629,5
263,0,0
264,91034,0
265,181712,0
266,44998,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,332,0
274,41592,0
275,208820,0
276,135434,0
277,199580,0
278,71080,0
279,0,0
280,45654,0
281,224665,0
282,115334,0
283,226194,0
284,113099,0
285,0,0
286,0,0
287,0,0
288,0,0
289,386,0
290,66,0
291,159102,0
292,135432,0
293,203809,0
294,136478,17
295,0,0
296,0,0
297,159077,0
298,158829,0
299,0,0
300,0,0
301,158641,0
302,158965,0
303,0,0
304,0,0
305,0,0
306,0,0
307,158695,0
308,158965,0
309,146772,0
310,170834,0
311,136086,0
312,158857,0
313,0,0
314,0,0
315,0,0
316,0,0
317,113700,0
318,203702,0
319,0,0
320,0,0
321,0,0
322,0,0
323,113864,0
324,203594,0
325,113810,0
326,196464,0
327,7616,0
328,0,0
329,91273,0
330,204276,0
331,22282,0
332,637,0
333,91146,0
334,204026,0
335,45436,0
336,0,0
337,84,0
338,0,0
339,68428,0
340,190228,0
341,127118,0
342,193680,0
343,78666,0
344,0,0
345,37724,0
346,189082,0
347,90436,0
348,0,0
349,0,0
350,0,0
351,0,0
352,54,0
